,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
0,0.0,12.94209505431354,12.556040019262582,4.502675437834114,6.079062586650252,2.9559305403381586,5.483212589751929,5.247842636890709,6.363588909152895,2.0955121726728976,4.228117177262902,5.371017323341221,5.033572961110622,2.463042619638145,3.8405778468586504,3.000372089445591,2.641550963744521,2.2921303752809763,4.503825039137155,2.489141479600221,0.7728012860752642,3.165587258990854,3.0176088330335915,1.7385536921210587,1.2238524504937232
1,0.01,10.482421203050762,8.682749466970563,1.6547346604056656,1.9513536244630814,3.74243245460093,2.842345566023141,2.7330679586157203,3.6775454645976424,0.04238972906023264,4.110508598387241,3.6999917938373983,4.720583092421293,2.5497283786535263,4.789813829120249,2.989829226862639,3.1998497433960438,2.438602678012103,5.195739504415542,2.898908860515803,0.4115645424462855,4.527231794781983,2.7421119739301503,2.2694439394399524,3.9759324863553047
2,0.02,11.816802725661546,9.955270797945559,4.840301699005067,5.356450856197625,7.621179975103587,5.771500582341105,5.568814231082797,3.8008438423275948,1.6086341929621994,6.289665179792792,4.628913302440196,5.111825885251164,2.6471680030226707,5.170229997020215,4.754416295327246,6.356029189191759,3.918830770999193,5.819238140247762,4.210924089420587,0.8585266186855733,3.492757969070226,5.225178028922528,2.1830055629834533,4.290370270609856
3,0.03,12.346084986347705,11.48976298281923,6.182919605635107,7.928836566861719,7.341222953982651,9.29660745896399,6.223846867214888,4.469591658562422,3.8649450289085507,6.902409950271249,5.596564733423293,4.714027454610914,3.715045750141144,5.796646291855723,4.705856554210186,7.31633190298453,4.3396721594035625,5.683672497980297,4.3192412704229355,1.8520368030294776,2.1621526684612036,6.885435141157359,2.598186256363988,3.9218575693666935
4,0.04,10.340030712541193,9.712246537674218,4.103960236534476,4.252746293786913,3.75758099835366,7.530754373874515,2.7869900804944336,3.2679381547495723,3.2329917303286493,5.001988029107451,4.542198439594358,3.5668854252435267,3.3687829272821546,5.10941754328087,2.637651050463319,4.255620297044516,1.913533196784556,3.880697477143258,3.424458554945886,1.7408747225999832,3.030756488442421,5.453570338431746,3.175431629642844,4.472218279261142
5,0.05,10.373027180321515,9.396047971677035,4.179419192951173,2.074266376439482,3.0462979339063168,4.230038030073047,1.4750403352081776,2.9550428735092282,2.2105377865955234,4.619061655830592,3.729444870259613,3.860077413264662,1.6491321730427444,2.5524277589283884,3.1791278161108494,2.1659216145053506,0.0,1.4670367818325758,3.5560879041440785,1.6344856703653932,3.9432488847523928,4.488516424316913,3.1412200769409537,4.307148628868163
6,0.06,12.171964044682682,11.536976671777666,6.207606929820031,4.830217221751809,4.018154868390411,3.4437834983691573,3.7749705370515585,4.84668998979032,2.958047844003886,5.951354978606105,4.185370926279575,5.252950359135866,2.102940925396979,1.5795158105902374,5.326757673174143,3.1636154744774103,2.439723175484687,1.3867465895600617,4.624329449143261,2.4069813662208617,2.970984496641904,4.93544212076813,3.046472556889057,2.9758375603705645
7,0.07,11.906980944331735,12.088799849152565,6.287089490797371,6.616297469008714,3.966946678701788,4.101457307115197,5.570742359850556,5.85080124437809,3.8485086406581104,5.8808946050703526,5.056303052697331,5.3422554628923535,4.0038503357209265,3.335488145239651,4.656707460526377,4.205467121209949,6.2129838624969125,4.289402568247169,4.631954652722925,1.9928629626519978,2.507702447474003,3.6704150261357427,3.612585715018213,2.5456902221776545
8,0.08,10.091200238093734,10.63253148458898,4.168679879512638,4.729183274321258,4.140434612054378,4.685382009483874,4.849898687098175,4.37203561887145,3.750836185645312,4.82343602925539,5.475776561070234,3.5417688195593655,3.646899131126702,3.6914352676831186,3.3718824852257967,4.0791783249005675,5.608053470496088,6.200854841154069,3.0045557650737464,0.24318433133885264,3.3641408663243055,1.6193371266126633,3.612520231399685,3.4151889849454165
9,0.09,9.078430593945086,9.468320058658719,2.5882472982630134,2.8104332159273326,3.724817361216992,4.971094313077629,3.3543401514180005,2.821958332788199,2.90846946882084,4.381225153338164,4.281537258066237,1.9828294171020389,2.0200241124257445,1.7909187590703368,4.089990397915244,3.4779368434101343,2.300563210155815,4.274981620255858,1.835869625210762,0.0,3.1068630050867796,2.2805106709711254,1.7138590919785202,3.658802597783506
10,0.1,9.722680260892957,9.2125337687321,3.8414145819842815,3.5990960896015167,2.143679012078792,5.495152436196804,2.8128415578976274,3.2871103030629456,1.8329883459955454,4.490189894568175,2.744040102697909,2.5502959033474326,1.9974977476522326,1.9005456124432385,3.878209099639207,2.210283128079027,1.9954968593083322,1.711669028736651,2.704371581785381,1.8361533875577152,1.9461585907265544,4.805580829270184,0.14746910892426968,2.867760485969484
11,0.11,11.951189662795514,9.816212696023285,6.671543815173209,6.407208275049925,2.9612783691845834,6.861409929115325,2.6137931854464114,5.225781933404505,2.0077713998034596,5.384754331316799,3.543413185980171,4.418550815898925,2.849046722985804,4.035522579215467,2.869914169423282,1.151092874351889,4.09274798585102,2.232816768810153,3.542343620210886,3.292363544460386,2.0824081730097532,6.148969987407327,1.3810276868753135,2.1913365344516933
12,0.12,13.254000805318356,9.632371074985713,6.1395985540002584,6.842754373792559,5.964124284218997,6.953348929528147,1.0555595508776605,5.919115210417658,3.6713172448799014,5.498230166267604,5.3998519433662295,5.652698746416718,3.7537392927333713,4.1775929275900126,4.3618056224659085,1.7356869648210704,4.542678652796894,4.251334758009762,2.7533387765288353,3.4089171094819903,3.253640898037702,6.248417776077986,3.797365934588015,2.740351192187518
13,0.13,12.068208889104426,7.891721907071769,3.0130831873975694,3.700224624481052,6.443508027587086,4.256020474713296,0.07734342943876982,4.196415829937905,4.249675839673728,3.3367323339916766,5.935617082286626,5.86991518503055,5.12496626470238,2.7755158953368664,6.02971704211086,2.4733817554078996,3.6923884181305766,4.388763045426458,2.522225258871913,3.1454619602300227,3.7791323848068714,6.146830855868757,4.345762135926634,3.748216840904206
14,0.14,10.295683750882745,6.681257218588144,2.566965122241527,1.7568818293511868,3.469991497695446,1.6754420357756317,1.4645411283709109,2.19706998905167,2.1639280021190643,2.1975793060846627,5.560883437283337,4.959918442182243,4.665882443077862,2.6713460101746023,4.222805728204548,1.43158104037866,3.0968585633672774,2.8321301215328276,3.315253707114607,2.729684638325125,3.1170056900009513,4.993606125935912,2.744644007179886,3.051703970413655
15,0.15,9.917661373037845,7.11910251993686,3.961351467296481,3.097513399552554,1.3618700904771686,2.4849505280144513,2.392269379924983,2.023327397182584,0.4492321750149131,4.732457455247641,5.502217391040176,3.090019163209945,1.7912971088662744,3.8541111280210316,2.0801671780645847,1.1370939319022,2.6345878723077476,2.920132828876376,3.0637020245194435,2.1235173335298896,2.3919783416204154,3.7628342397511005,1.4264369383454323,1.6873746062628925
16,0.16,11.126066965516657,8.556169632356614,4.5100387069396675,5.146648618392646,3.25530709233135,5.479960236698389,2.592205419205129,3.55701195076108,2.063839929178357,7.307440682779998,5.900372343603522,2.580898581072688,1.1869851732626557,4.8868751036934555,3.1495801522396505,3.452892997302115,3.1572344596497715,4.791487299371511,2.370899892412126,1.915002940222621,2.7738497010432184,5.000300006940961,1.7848360585048795,2.4418841348960996
17,0.17,12.172422430012375,10.04606019705534,5.091977072879672,5.6899734772741795,5.946523742750287,7.145899871829897,4.80811286251992,4.843226633965969,4.357374564278871,6.657966878265142,5.6608987506479025,4.683919542003423,4.276713298168033,4.871988494414836,4.796995199285448,4.694076778832823,4.435300070326775,4.75661363452673,3.0172450351528823,2.532338839955628,4.108522261958569,6.520916940644383,2.681612386368215,4.2058745748363435
18,0.18,11.549338523764163,10.716059477999806,5.701855116058141,5.6036587920971215,5.598347343038768,7.3401242843829095,7.427690434269607,4.589739546645433,4.111767339054495,5.320893251337111,4.441004421096295,6.589361873921007,6.130219844635576,4.215937224216759,4.258487024344504,3.164197551086545,4.283007001504302,3.2094030757434666,4.260982677806169,3.384899173397571,5.219240847509354,4.554101906251162,2.5619083316996694,3.905654011759907
