,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
0,0.0,4.428235115483403,5.058362148702145,2.01984221348539,4.996618372388184,5.378606147132814,0.0,6.793110514990985,4.655536031350493,2.7491769287735224,1.595166395418346,3.381726855877787,3.5165503504686058,3.94465314457193,3.4009062801487744,5.580841389019042,7.084519893396646,2.687243977561593,4.877685569226742,3.4532713470980525,4.818641173187643,1.6864723875187337,1.8832142814062536,4.94020787300542,4.041052307002246
1,0.01,7.463298970833421,9.183371730614454,7.464113878086209,9.23709012567997,8.201903256122023,4.224544682074338,10.599855158943683,7.418777386192232,3.4339827834628522,4.869252734351903,5.761554348282516,5.900081305298954,4.115026968065649,4.45650948677212,6.315793143585324,6.522175681311637,3.719571395777166,5.101785063743591,2.685104846023023,5.080917617306113,3.685097908601165,2.2486638044938445,4.809102392755449,2.5310146156698465
2,0.02,9.518378647044301,10.595562343951315,7.169328455347568,11.321419151499867,7.917813491076231,6.12434814684093,11.372263543307781,9.662886441219598,6.412912625819445,7.384333002846688,6.413829396478832,5.148351192474365,5.29568933416158,5.09992241859436,6.829497579019517,7.0313544711098075,4.967485438100994,7.146169082261622,4.00921271648258,6.066184141673148,6.700327503494918,4.839035682380199,6.218826456461102,5.384361429605633
3,0.03,9.353025234304368,10.017429303843528,5.176101694814861,12.094176781829447,5.509209586307406,5.543508450500667,9.593532013241202,9.343282727058977,7.405280484817922,6.927570211701095,4.752204404212534,4.606001311913133,6.0241291066631675,4.722969606518745,6.871996447443962,6.665701221209019,4.789202648680657,7.459355401806533,4.7958019422367215,6.227419362403452,6.789181497879326,5.534959200304002,6.67286803945899,7.910319254733622
4,0.04,8.246024663094431,8.42549343360588,5.851805326528847,11.350792192388326,5.566631443798542,4.802001058124006,8.494600479025394,6.264228431973606,4.465247911866754,5.077854439150542,3.6579513107426465,6.015623512212187,5.243571649771184,4.69379301648587,6.548252713400871,6.100592145230621,2.8590293368324637,5.803165549878031,4.215937224216759,5.019894160795957,3.868917701765895,3.158042090944946,4.666188033297658,5.766283720731735
5,0.05,7.006863597780466,5.656977009493858,5.7084980653598905,8.447175787296146,7.282316801138222,3.865279722958803,7.7513104770332575,3.319968527648598,2.0577790564857423,3.4171025617979467,3.873603418469429,5.794114258605987,4.41280280938372,4.996996722184122,6.186048267409205,6.478905561380088,2.1441810531541705,5.940899427514523,4.337467544246465,3.4532786230556667,1.2956734281033278,1.3869866961613297,4.031506250612438,3.9857623050920665
6,0.06,6.941358151379973,5.801972292829305,5.068410246167332,8.567549230065197,7.841452315915376,4.137858923058957,7.388603989966214,4.6404238673858345,4.577690560836345,4.076697223354131,3.985536750406027,4.394285497255623,4.96774009661749,5.112429789733142,6.690715963486582,7.678114343434572,4.357716534286737,7.88476609159261,4.7437206376343966,3.899105649907142,1.9760991563089192,2.5985718821175396,6.10260758548975,5.35066646989435
7,0.07,8.09460470918566,9.123294148594141,6.278438377194107,11.555166565813124,7.223112334031612,5.527639586944133,7.080008799675852,8.0825702752918,8.226779755204916,6.578651664312929,4.2299507185816765,4.914450983051211,5.6163698900491,5.364257958717644,7.495196769014001,8.2940241554752,6.069225491955876,8.056791557464749,3.6792989703826606,6.726571882609278,4.946035915054381,4.140798409935087,7.11077154846862,5.363683158066124
8,0.08,8.549111953470856,9.678173228166997,6.307585863396525,10.941235814243555,6.8115186877548695,5.678266461472958,6.504931661766022,7.998205546755344,7.350929081439972,6.170535925775766,5.670372047461569,6.19273487245664,5.428548320196569,4.966190317645669,6.809204933233559,6.555652362294495,4.627814632840455,6.563182978425175,2.947017492260784,8.151240763254464,6.602844223380089,2.9077637009322643,5.383728421293199,3.618471964728087
9,0.09,8.065449947025627,7.0700698415748775,3.8863581721670926,8.088747563306242,7.188820745795965,4.770270606968552,7.632923370692879,5.739799235016108,4.619287210516632,2.5973713491111994,6.759102689102292,5.874106136616319,5.341666110325605,3.263397957198322,5.157329724170268,3.3986070775426924,2.778033376671374,6.3967236201278865,4.47031925432384,5.996851541567594,5.5699420045129955,1.0388248483650386,4.07737388741225,3.9911101339384913
10,0.1,7.769340300001204,6.479531293734908,2.8349313652142882,8.27877374831587,7.560578524135053,3.6247511161491275,9.373739885631949,5.668902304023504,4.8146030167117715,1.6796839190647006,5.427900759968907,4.721034201793373,5.302885256242007,2.7261412469670177,4.645909939426929,2.6656343834474683,2.6443085516802967,7.211820047814399,5.982743459753692,3.84935992769897,3.868532076012343,2.167056663893163,5.099893314763904,5.233872798271477
11,0.11,7.762195309624076,9.074719855561852,4.750603693537414,10.393428965471685,7.703667506575584,3.490975359454751,8.790208084974438,6.294176273513585,6.328904419206083,4.7981811803765595,4.255758540239185,4.913468728773296,5.0313828978687525,4.9836235120892525,5.7451106840744615,5.532288923859596,2.7744463295675814,7.208836905192584,5.683592462446541,4.952460585627705,3.675864718388766,4.751302185468376,5.905545549467206,4.815599822904915
12,0.12,7.693037332501262,10.613490303512663,5.8614168665371835,11.04361581383273,7.884445949457586,6.19790080236271,7.881069905124605,5.691144906450063,6.34131720289588,6.800342816859484,6.028392817825079,6.353453500196338,5.130976205691695,6.4812120399437845,7.18980300007388,8.204602636396885,2.6435081963427365,7.776026905048639,5.327790859155357,7.1838730946183205,4.3533946154639125,4.753892426379025,4.81216557091102,4.414869181346148
13,0.13,7.621245458722115,8.556547982152551,4.040346539113671,10.096322512254119,7.446607924066484,8.02108843345195,8.596471161581576,6.069632945582271,5.607937055174261,5.007037543691695,7.176699000410736,6.674425094388425,5.432048055808991,4.452493158169091,7.3972041718661785,7.948277925606817,2.8287977329455316,9.013827366288751,5.845380655955523,6.980444595683366,3.4885670174844563,2.568158379290253,3.6813944461755455,4.1538296500220895
14,0.14,7.885784725658596,6.401751306839287,3.691653546411544,9.944378689397126,6.465073965955526,4.576293576974422,8.580420399084687,7.372487743850797,5.342575605027378,2.7195492293685675,4.48412902187556,5.48601383343339,5.617635906673968,1.9140716176480055,5.953013896942139,6.463582394644618,2.4884502636268735,7.6584110502153635,5.501788109540939,4.228597390465438,1.219836121890694,1.8147839000448585,3.216882760170847,2.4900073185563087
